terms,categories,DisciplineBroadArea
network management computation,network management computation,Computer Science; Interdisciplinary Applications 
network modeling,network modeling,Computer Science; Interdisciplinary Applications 
network systems,network systems,Computer Science; Interdisciplinary Applications 
neural basis of cognition,cognitive science,Psychology 
neural science,neuroscience,Neurosciences 
neural sciences,neural science,Neurosciences 
neural systems engineering,neural systems engineering,Neurosciences
neurobiology,neurobiology,Neurosciences
neurobiology & behavior,"neurobiology, behavior science",Neurosciences 
neurobiology and behavior,neurobiology,Neurosciences 
neuroengineering,neuroengineering,Engineering; Biomedical 
neuromechanics,neuromechanics,Engineering; Biomedical 
neuromorphic computing,neuromorphic computing,Computer Science; Cybernetics 
neurophysiology,neurophysiology,Neurosciences
neuroscience,neuroscience,Neurosciences
nitrogen science,nitrogen science,Physics; Atomic; Molecular & Chemical 
nonlinear science,nonlinear science,
number theory,number theory,Mathematics
nutrition,nutrition,Nutrition & Dietetics
ocean science,ocean science,Oceanography
oceanography,oceanography,Oceanography
operations research,operations research,Operations Research & Management Science
operations research and industrial engineering,"operations research, industrial engineering",
optical engineering,optical engineering,
optical molecular bio-engineering,"optical engineering, molecular engineering, bio engineering",
optical physics,optical physics,Optics
optical science,optical science,Optics
optics,optical science,Optics
optics and imaging,"optics, imaging",Engineering; Multidisciplinary 
organic chemistry,organic chemistry,Engineering; Multidisciplinary 
organic electronics,organic electronics,Engineering; Electrical & Electronic
organismal biology,organismal biology,Biology
organizational science,organizational science,Operations Research & Management Science
paleoclimatology,paleoclimatology,Paleontology
paleoecology,paleoecology,Ecology
paleontology,paleontology,Paleontology
parasitology,parasitology,Parasitology
particle physics,particle physics,Physics; Particles & Fields
patent law,patent law,Law
pathogen biology,pathogen biology,Biology
pathology,pathology,Pathology
perceptual and cognitive neuroscience,"perceptual neuroscience, cognitive neuroscience",Neurosciences 
perceptual science,perceptual science,Neurosciences 
pharmaceutical science,pharmaceutical science,Pharmacology & Pharmacy
pharmaceutics,pharmaceutics,Pharmacology & Pharmacy
pharmacological science,pharmacology,Pharmacology & Pharmacy
pharmacological sciences,pharmacology,Pharmacology & Pharmacy
pharmacology,pharmacology,Pharmacology & Pharmacy
phenology,phenology,Biology
phenotypic studies,phenotypic studies,Biology
philosophy,philosophy,Philosophy
philosophy of science,philosophy of science,History & Philosophy Of Science
photobiology,photobiology,Biology
photonics,photonics,Optics 
phylogenetic analysis,phylogenetics,Genetics & Heredity 
phylogenetics,phylogenetics,Genetics & Heredity 
physical and life science,"physical science, life science",Biology
physical anthropology,physical anthropology,Anthropology
physical biosciences,physical biosciences,Biology
physical electronics,physical electronics,Physics; Applied
physical organic chemistry,physical organic chemistry,Chemistry; Organic
physical science,physics,Physics; Applied
physical sciences,physics,Physics; Applied
physics,physics,Physics; Applied
physics and astronomy,"physics, astronomy",Physics; Applied
physics of cell structures,cell structure physics,Physics; Applied
physiological modeling,physiological modeling,Physiology
physiology,physiology,Physiology
physiology and biophysics,"physiology, biophysics",Physiology
phytopathology,phytopathology,Plant Sciences
plant and soil science,"plant science, soil science",Plant Sciences
plant and soil sciences,"plant science, soil science",Plant Sciences
plant biology,plant biology,Plant Sciences
plant biotechnology,plant biotechnology,Plant Sciences
plant breeding,plant breeding,Plant Sciences
plant development,plant development,Plant Sciences
plant genetics,plant genetics,Plant Sciences
plant pathology,plant pathology,Plant Sciences
plant science,plant science,Plant Sciences
plant science research,plant science,Plant Sciences
plant sciences,plant science,Plant Sciences
polar sciences,polar science,Environmental Sciences 
political economy,political economy,Political Science
political science,political science,Political Science
polymer design,polymer design,Polymer Science 
polymer engineering,polymer engineering,Engineering; Manufacturing
polymer science,polymer science,Polymer Science
polymer science and engineering,"polymer science, polymer engineering",Polymer Science 
population biology,population biology,Evolutionary Biology 
population dynamics,population dynamics,Evolutionary Biology 
population genetics,population genetics,Evolutionary Biology 
population health sciences,population health science,Health Care Sciences & Services 
population science,population science,Demography 
power electronics and controls,power electronics,Engineering; Electrical & Electronic 
preventive medicine,preventive medicine,Integrative & Complementary Medicine 
primatology,primatology,Zoology 
process engineering,process engineering,Engineering; Manufacturing
product design,product design,
product development,product development,
product engineering,product engineering,Engineering; Manufacturing
protein engineering,protein engineering,Engineering; Biomedical 
proteomics,proteomics,Chemistry; Organic 
psychological science,psychology,Psychology
psychological sciences,psychology,Psychology
psychology,psychology,Psychology
psychophysics,psychophysics,Psychology
public affairs,public affairs,Public Administration
public health,public health,Public; Environmental & Occupational Health
public policy,public policy,Public Administration
public policy/government,"public policy, government",Public Administration
public science (minor),public science,Public Administration
pure and applied mathematics,"pure mathematics, applied mathematics",Mathematics 
qise (quantum information science and engineering),"quantum information science, quantum information engineering",Computer Science; Information Systems 
quantitative biology,quantitative biology,Biology
quantum computing,quantum computing,Computer Science; Information Systems 
quantum engineering,quantum engineering,Engineering; Multidisciplinary
quantum photonics,quantum photonics,Physics; Multidisciplinary 
quantum science,quantum science,Physics; Multidisciplinary 
quantum sciences,quantum science,Physics; Multidisciplinary 
radio frequency engineering,radio frequency engineering,Engineering; Mechanical 
radiochemistry,radiochemistry,Chemistry; Applied 
rangeland science,rangeland science,Biodiversity Conservation 
regenerative biology,regenerative biology,Biodiversity Conservation 
regenerative medicine,regenerative medicine,Biodiversity Conservation 
rehabilitation and movement science (arms),"rehabilitation science, movement science",Rehabilitation 
rehabilitation sciences,rehabilitation science,Rehabilitation 
rehabilitation therapy education,rehabilitation therapy education,Rehabilitation 
relationship science,relationship science,Psychology; Applied 
reproductive ecology,reproductive ecology,Ecology 
resource economics,resource economics,Economics 
resource management,resource management,Planning & Development 
robotic engineering,robotics engineering,Robotics
robotics,robotics,Robotics
robotics engineering,robotics engineering,Robotics
rural sociology,rural sociology,Sociology
science,science,
science and engineering,"science, engineering",
"science, technology, engineering, and mathematics (stem)","science, technology, engineering, mathematics","Engineering; Multidisciplinary, Mathematics"
sciences,science,
scientific computation science,scientific computation science,Computer Science; Theory & Methods
semiconductor engineering,semiconductor engineering,Engineering; Electrical & Electronic 
semiconductor technology,semiconductor technology,Engineering; Electrical & Electronic 
sensor electronics,sensor electronics,Engineering; Electrical & Electronic 
sensor engineering,sensor engineering,Engineering; Electrical & Electronic 
sensor physics,sensor physics,Physics; Applied
sensor science,sensor science,Physics; Applied
sensory biology,sensory biology,Biology
small-scale hydrodynamics,hydrodynamics,Physics; Fluids & Plasmas 
social and behavioral sciences,"social science, behavioral science",Behavioral Sciences 
social and behavioral sciences (sbe),"social science, behavioral science",Behavioral Sciences 
social behavioral science,social behavioral science,Psychology; Social
social behavioral sciences,social behavioral science,Behavioral Sciences 
social computer sciences,social computing science,Behavioral Sciences 
social data analytics,social data analytics,Demography 
social science,social science,Sociology 
social sciences,social science,Social Sciences; Interdisciplinary
"social, behavioral, and economic sciences","social science, behavioral science, economics","Economics, Behavioral Sciences"
social/environmental ethics & policy,"social ethics, social policy, environmental ethics, environmental policy",Ethics
socio-environmental systems science,socio-environmental systems science,Social Sciences; Interdisciplinary 
sociology,sociology,Sociology
sociology & social policy,"sociology, social policy",Social Sciences; Interdisciplinary 
software engineering,software engineering,Computer Science; Software Engineering
soil and crop science,"soil science, crop science",Agriculture; Multidisciplinary 
soil and crop sciences,"soil science, crop science",Agriculture; Multidisciplinary 
soil science,soil science,Agriculture; Multidisciplinary 
soil science and zoology,"soil science, zoology",Zoology 
soils sciences,soil science,Agriculture; Multidisciplinary 
solid state physics,solid state physics,Physics; Condensed Matter
spanish,spanish,Language & Linguistics
spatial and temporal modeling,"spatial modeling, temporal modeling",
spatial science,spatial science,Geography; Physical 
spatial sciences,spatial science,Geography; Physical 
special education,special education,Education & Educational Research 
speech-language-hearing,speech-language-hearing science,Audiology & Speech-Language Pathology
speech-language-hearing science,speech-language-hearing science,Audiology & Speech-Language Pathology
speech-language-hearing sciences,speech-language-hearing science,Audiology & Speech-Language Pathology
statistical science,statistics,Statistics & Probability
statisticics,statistics,Statistics & Probability
statistics,statistics,Statistics & Probability
statistics and probability,"statistics, probability",Statistics & Probability
stem,"science, technology, engineering, mathematics","Engineering; Multidisciplinary, Mathematics"
"stem (science, technology, engineering, and math)","science, technology, engineering, mathematics","Engineering; Multidisciplinary, Mathematics"
"stem (science, technology, engineering, and mathematics)","science, technology, engineering, mathematics","Engineering; Multidisciplinary, Mathematics"
stem cell biology,stem cell biology,Biology
stem education,stem education,Education & Educational Research 
stem fields,"science, technology, engineering, mathematics",
stem programs,"science, technology, engineering, mathematics",
structural biology,structural biology,Biology
structural engineering,structural engineering,Engineering; Industrial 
studies in health sciences,health science,Public; Environmental & Occupational Health 
supply-chain management,supply-chain management,Management 
surgery,surgery,Surgery
sustainability science,sustainability science,Biodiversity Conservation 
sustainable development,sustainable development,Green & Sustainable Science & Technology 
sustainable engineering,sustainable engineering,Engineering; Environmental
synthesis and surface functionalization and characterization of nanostructures,nanostructure science,Nanoscience & Nanotechnology 
synthetic chemistry,synthetic chemistry,Chemistry; Inorganic & Nuclear
system engineering,system engineering,Engineering; Multidisciplinary 
system science,systems science,Computer Science; Cybernetics 
systematics,systematics,Computer Science; Cybernetics 
systems and information engineering,"systems engineering, information engineering",Engineering; Multidisciplinary
systems biology,systems biology,Biology
systems biology and bioengineering,"systems biology, bioengineering",Biology
systems engineering,systems engineering,Engineering; Multidisciplinary
systems integration,systems integration,
systems modeling,systems modeling,
systems neuroscience,systems neuroscience,Neurosciences
team science,team science,
technology,technology,
technology arts,technology arts,Art
theater,theater,Theater
theoretical and applied mechanics,"theoretical mechanics, applied mechanics",Engineering; Mechanical 
theoretical chemistry,theoretical chemistry,Chemistry; Analytical
theoretical computational modeling,theoretical computational modeling,Computer Science; Theory & Methods 
theoretical mechanics,theoretical mechanics,Mechanics
thermal biology,thermal biology,Biology
thermal engineering,thermal engineering,Engineering; Environmental 
tissue engineering,tissue engineering,Cell & Tissue Engineering
toxicology,toxicology,Toxicology
transportation engineering,transportation engineering,Engineering; Civil 
transportation planning,transportation planning,Transportation Science & Technology
transportation science,transportation science,Transportation Science & Technology
tree-ring studies,tree-ring studies,Plant Sciences 
urban affairs and planning,"urban affairs, urban planning",Planning & Development 
urban ecological systems,urban ecological systems,Planning & Development 
urban ecology,urban ecology,Planning & Development 
urban ecosystem management,urban ecosystem management,Operations Research & Management Science 
urban planning,urban planning,Planning & Development
urban policy planning,urban policy planning,Planning & Development
urban studies,urban studies,Urban Studies
urban studies and planning,"urban studies, urban planning",Urban Studies
user experience design,user experience design,Computer Science; Software Engineering 
veterinary medicine,veterinary medicine,Veterinary Sciences 
video art,video art,Art
video art and interactive installations,"video art, interactive installations",Art
visual arts,visual arts,Art
visual design,visual design,Art
water resources management,water resources management,Management 
water systems,water systems,Marine & Freshwater Biology 
watershed science,watershed science,Marine & Freshwater Biology 
watershed sciences,watershed science,Marine & Freshwater Biology 
wildlife conservation,wildlife conservation,Biodiversity Conservation
wildlife science,wildlife science,Biodiversity Conservation
wood science and forest products,wood science,Forestry 
zoology,zoology,Zoology
